ticker,asset_class,sector
MMM,Equity,Industrials
ACN,Equity,Information Technology
AFL,Equity,Financials
A,Equity,Health Care
APD,Equity,Materials
AKAM,Equity,Information Technology
ALK,Equity,Industrials
ALB,Equity,Materials
ARE,Equity,Real Estate
ALGN,Equity,Health Care
ALLE,Equity,Industrials
LNT,Equity,Utilities
ALL,Equity,Financials
GOOGL,Equity,Communication Services
GOOG,Equity,Communication Services
MOH,Equity,Health Care
AMCR,Equity,Materials
AEE,Equity,Utilities
AAL,Equity,Industrials
AEP,Equity,Utilities
AXP,Equity,Financials
AIG,Equity,Financials
AMT,Equity,Real Estate
AWK,Equity,Utilities
AMP,Equity,Financials
AME,Equity,Industrials
AMGN,Equity,Health Care
APH,Equity,Information Technology
ADI,Equity,Information Technology
AON,Equity,Financials
AOS,Equity,Industrials
APA,Equity,Energy
AAPL,Equity,Information Technology
AMAT,Equity,Information Technology
APTV,Equity,Consumer Discretionary
ADM,Equity,Consumer Staples
ANET,Equity,Information Technology
AJG,Equity,Financials
AIZ,Equity,Financials
T,Equity,Communication Services
ATO,Equity,Utilities
ADSK,Equity,Information Technology
ADP,Equity,Information Technology
AVB,Equity,Real Estate
AVY,Equity,Materials
BKR,Equity,Energy
BALL,Equity,Materials
BAC,Equity,Financials
BK,Equity,Financials
BAX,Equity,Health Care
BDX,Equity,Health Care
BBY,Equity,Consumer Discretionary
BIO,Equity,Health Care
TECH,Equity,Health Care
BIIB,Equity,Health Care
BLK,Equity,Financials
BA,Equity,Industrials
BKNG,Equity,Consumer Discretionary
BWA,Equity,Consumer Discretionary
BXP,Equity,Real Estate
BSX,Equity,Health Care
BMY,Equity,Health Care
AVGO,Equity,Information Technology
BR,Equity,Information Technology
BRO,Equity,Financials
CHRW,Equity,Industrials
CDNS,Equity,Information Technology
CPB,Equity,Consumer Staples
COF,Equity,Financials
CAH,Equity,Health Care
KMX,Equity,Consumer Discretionary
CCL,Equity,Consumer Discretionary
CARR,Equity,Industrials
CAT,Equity,Industrials
CBOE,Equity,Financials
CBRE,Equity,Real Estate
CDW,Equity,Information Technology
CE,Equity,Materials
CNC,Equity,Health Care
CNP,Equity,Utilities
CF,Equity,Materials
CRL,Equity,Health Care
SCHW,Equity,Financials
CHTR,Equity,Communication Services
CVX,Equity,Energy
CMG,Equity,Consumer Discretionary
CB,Equity,Financials
CHD,Equity,Consumer Staples
CI,Equity,Health Care
CINF,Equity,Financials
CTAS,Equity,Industrials
